column_ID,column_coal_metal,column_commodity,column_mine_name,column_name,column_state,column_status,column_type
3503598,M ,"Crushed, Broken Stone NEC ",Newberg Rock & Dirt,Newberg Rock & Dirt  ,OR ,Active ,Surface
0502030,M ,Construction Sand and Gravel ,Allied Dirt Moving Co Pit & Plant,Allied Dirt Moving Company  ,CO ,Abandoned ,Surface
4801789,M ,Construction Sand and Gravel ,AM Dirtworks & Aggregate Sales,AM Dirtworks & Aggregate Sales  ,ND ,Abandoned ,Surface
4201449,C ,Coal (Bituminous) ,Unit Train Loading Facility,Atlas-Dirty Devil Mining  ,UT ,Abandoned ,Facility
4201450,C ,Coal (Bituminous) ,Blackie Surface Mine & Prep Plant,Atlas-Dirty Devil Mining  ,UT ,Abandoned ,Surface
1002257,M ,Construction Sand and Gravel ,"Hitt Pit, Inc.",Babe's Dirt Work  ,ID ,Abandoned ,Surface
1601167,M ,Construction Sand and Gravel ,Bar-Lin Dirt Pit,Bar-Lin Dirt Company  ,LA ,Abandoned ,Surface
4103265,M ,Construction Sand and Gravel ,Barber'S Dirt Pit,Barber'S Dirt Pit  ,TX ,Abandoned ,Surface
1401575,M ,Construction Sand and Gravel ,BENDER SAND & DIRT,Bender Sand & Dirt  ,KS ,Intermittent ,Surface
1700776,M ,Construction Sand and Gravel ,BERT'S DIRT,BERT'S DIRT  ,ME ,Abandoned ,Surface
1601251,M ,Construction Sand and Gravel ,Dorothy V Pit,Big D Dirt Service Inc  ,LA ,Abandoned ,Surface
0301963,M ,Construction Sand and Gravel ,Big Red Dirt Farm,Big Red Dirt Farm LLC  ,AR ,Abandoned ,Surface
1601082,M ,Construction Sand and Gravel ,Big River Dirt Pit,Big River Dirt Pit  ,LA ,Abandoned ,Surface
3401751,M ,Construction Sand and Gravel ,Harris Pit,Bob Harris Dirt Contracting  ,OK ,Abandoned ,Surface
1600916,M ,Construction Sand and Gravel ,BOHANNON SAND & DIRT,Bohannon Sand & Dirt  ,LA ,Abandoned ,Surface
3401211,M ,Construction Sand and Gravel ,Eubanks Pit,Bratcher'S Sand & Dirt  ,OK ,Abandoned ,Surface
0301267,M ,Construction Sand and Gravel ,Brewer Pit,Brewer Dirt Works  ,AR ,Abandoned ,Surface
1600956,M ,Construction Sand and Gravel ,Buck'S Dirt Pit,Buck'S Dirt Pit  ,LA ,Abandoned ,Surface
2200033,M ,Common Clays NEC ,Laurel Brick & Tile,C & G Dirt Hauling  ,MS ,Abandoned ,Surface
0504953,M ,Construction Sand and Gravel ,Foster Canyon,"C N C Dirt Movers, Inc.  ",NM ,Abandoned ,Surface
3401929,M ,"Sand, Industrial NEC ",Cambridge #1,Cambridge Dirt Sand and Gravel LLC  ,OK ,Abandoned ,Surface
1302445,M ,Construction Sand and Gravel ,Woolstock,Central Iowa Dirt & Demo LLC  ,IA ,Abandoned ,Surface
1601106,M ,Construction Sand and Gravel ,Crowes Dirt Pit,Crowes Trucking & Dirt Pit Services  ,LA ,Abandoned ,Surface
3400915,M ,Construction Sand and Gravel ,D & H Dirt,D & H Dirt  ,OK ,Abandoned ,Surface
1600983,M ,Construction Sand and Gravel ,Amite Acres Dredge,Diez Dirt & Sand Hauling Inc  ,LA ,Abandoned ,Surface
4503200,M ,Common Clays NEC ,Dirt Cheap,Dirt Cheap  ,WA ,Abandoned ,Surface
3401266,M ,Construction Sand and Gravel ,Pit #1,Dirt Company  ,OK ,Abandoned ,Surface
3401468,M ,Construction Sand and Gravel ,Hicks Pit,Dirt Company  ,OK ,Abandoned ,Surface
5001797,M ,Construction Sand and Gravel ,Bush Pilot,Dirt Company  ,AK ,Intermittent ,Surface
4608254,M ,"Crushed, Broken Limestone NEC ",Hog Lick Quarry,Dirt Con  ,WV ,Abandoned ,Surface
1510279,C ,Coal (Bituminous) ,Debco Mine,Dirt Diggers Inc  ,KY ,Abandoned ,Surface
2103723,M ,Construction Sand and Gravel ,Rock Lake Plant,Dirt Doctor Inc  ,MN ,Intermittent ,Surface
0100776,M ,Common Clays NEC ,Harrison Pit,Dirt Inc  ,AL ,Abandoned ,Surface
4104016,M ,Construction Sand and Gravel ,THE DIRT PIT,Dirt Pit  ,TX ,Abandoned ,Surface
2103914,M ,Construction Sand and Gravel ,Astec Plant,Dirt Work Specialists LLC  ,MN ,Intermittent ,Surface
4104757,M ,Construction Sand and Gravel ,Portable #1,Dirt Works  ,TX ,Intermittent ,Surface
0301729,M ,Construction Sand and Gravel ,DIRTCO INC,Dirtco Inc  ,AR ,Abandoned ,Surface
0404851,M ,Construction Sand and Gravel ,Dirtman Sand & Gravel #2,Dirtman Trucking  ,CA ,Abandoned ,Surface
2200734,M ,Construction Sand and Gravel ,"DIRTWORKS, INC.","DIRTWORKS, INC.  ",MS ,Abandoned ,Surface
5002028,M ,Construction Sand and Gravel ,"Dirtworks, Inc.","Dirtworks, Inc.  ",AK ,Abandoned ,Surface
1513393,C ,Coal (Bituminous) ,No 1 Surface,Dirty Coal  ,KY ,Abandoned ,Surface
3800602,M ,Construction Sand and Gravel ,DIAMOND MINE #3,Dorchester Dirt Company Inc  ,SC ,Abandoned ,Surface
3101630,M ,"Crushed, Broken Granite ",Mccormick Pit & Plant,Douglas Dirt Sand & Gravel Company  ,NC ,Abandoned ,Surface
3200860,M ,Construction Sand and Gravel ,Portable Jaw #1,Ell Dirt Works LLC.  ,ND ,Abandoned ,Surface
3401762,M ,Dimension Stone NEC ,Floyd Smith Dirt Pit,Floyd Smith Dirt Pit  ,OK ,Abandoned ,Surface
2103517,M ,Construction Sand and Gravel ,Screener,Gary Kelm Dirt Service  ,MN ,Abandoned ,Surface
2402626,M ,Construction Sand and Gravel ,Aden Ward,Gerald Fenger/Rock & Dirt Const  ,MT ,Abandoned ,Surface
2103181,M ,Construction Sand and Gravel ,PORTABLE CRUSHER,Gerald Illies Gravel & Dirt Company  ,MN ,Abandoned ,Surface
1601124,M ,Construction Sand and Gravel ,Guidry Sand & Dirt Pit,Guidry Sand & Dirt Pit Inc  ,LA ,Abandoned ,Surface
1601150,M ,Construction Sand and Gravel ,Harris Dirt Pit,Harris Dirt Company Inc  ,LA ,Abandoned ,Surface
4703427,M ,Construction Sand and Gravel ,Hatchet Creek Rock & Dirt LLC,Hatchet Creek Rock & Dirt LLC  ,WI ,Abandoned ,Surface
0801306,M ,"Sand, Common ",River Road Pit,"Holley Dirt Company, Inc  ",FL ,Active ,Surface
2501216,M ,Construction Sand and Gravel ,Iske Dirt Sand & Gravel,Iske Dirt Sand & Gravel  ,NE ,Abandoned ,Surface
3200965,M ,Construction Sand and Gravel ,Johnson Pit,J M Lynn Dirtwork  ,ND ,Abandoned ,Surface
2901371,M ,Construction Sand and Gravel ,Diel Screening Plant,Jake Diel Dirt & Paving Inc  ,NM ,Abandoned ,Surface
2901544,M ,Construction Sand and Gravel ,Cortez Pit,Jake Diel Dirt & Paving Inc  ,NM ,Abandoned ,Surface
2901709,M ,"Crushed, Broken Stone NEC ",Skaggs Pit,Jake Diel Dirt & Paving Inc  ,NM ,Abandoned ,Surface
4102355,M ,"Crushed, Broken Limestone NEC ",Jacobson Pit,Jake Diel Dirt & Paving Inc  ,TX ,Abandoned ,Surface
4102420,M ,"Crushed, Broken Limestone NEC ",Black Pit,Jake Diel Dirt & Paving Inc  ,TX ,Abandoned ,Surface
4102869,M ,"Crushed, Broken Stone NEC ",Bailey Pit,Jake Diel Dirt & Paving Inc  ,TX ,Abandoned ,Surface
4102951,M ,"Crushed, Broken Limestone NEC ",Toscosa Pit,Jake Diel Dirt & Paving Inc  ,TX ,Abandoned ,Surface
4102958,M ,Construction Sand and Gravel ,Four Way Pit,Jake Diel Dirt & Paving Inc  ,TX ,Abandoned ,Surface
4104876,M ,"Crushed, Broken Stone NEC ",Portable Screening Plant #1,"Jarratt Dirt Work and Paving, Inc.  ",TX ,Abandoned ,Surface
3003502,M ,Construction Sand and Gravel ,SHAMROCK PIT,"JBS DIRT, INC.  ",NY ,Abandoned ,Surface
4103258,M ,"Crushed, Broken Limestone NEC ",Barstow Pit,Jones Bros Dirt & Paving Contractors Inc  ,TX ,Abandoned ,Surface
3901432,M ,Construction Sand and Gravel ,PORTABLE SCREENER,Krueger Brothers Gravel & Dirt  ,SD ,Intermittent ,Surface
2103556,M ,Construction Sand and Gravel ,Krueger Pit,"Krueger Dirt Werx, Inc.  ",MN ,Abandoned ,Surface
1601250,M ,Construction Sand and Gravel ,L I P Dirt & Trucking,L I P Dirt & Trucking  ,LA ,Abandoned ,Surface
1600908,M ,Construction Sand and Gravel ,Lee'S Dirt Pit,Lee'S Dirt Pit Inc  ,LA ,Abandoned ,Surface
1600953,M ,Construction Sand and Gravel ,Little-G-Dirt Pit,Little-G-Dirt Pit  ,LA ,Abandoned ,Surface
4104185,M ,"Crushed, Broken Stone NEC ",Lone Star Crusher,Lone Star Dirt & Paving  ,TX ,Abandoned ,Surface
2901536,M ,Construction Sand and Gravel ,LOYD'S PIT,Loyd'S Dirt & Gravel  ,NM ,Abandoned ,Surface
3609624,M ,Construction Sand and Gravel ,Forbes Pit,M R Dirt  ,PA ,Temporarily Idled ,Surface
3800709,M ,"Sand, Common ",Middleton Site,M.C. Dirt LLC  ,SC ,Abandoned ,Surface
3609931,M ,Dimension Stone NEC ,Camptown Quarry,M.R. Dirt Inc.  ,PA ,Intermittent ,Surface
1601257,M ,Construction Sand and Gravel ,Maurice Dirt And Sand,Maurice Dirt & Sand  ,LA ,Abandoned ,Surface
0801275,M ,Construction Sand and Gravel ,BELLVIEW,Mc Dirt Industries Inc  ,FL ,Abandoned ,Surface
1601379,M ,Construction Sand and Gravel ,REDS PIT,Mike Duhon Dirt Pit  ,LA ,Abandoned ,Surface
1601380,M ,Construction Sand and Gravel ,WAINWRIGHT PIT,Mike Duhon Dirt Pit  ,LA ,Abandoned ,Surface
1601381,M ,Construction Sand and Gravel ,COX PIT,Mike Duhon Dirt Pit  ,LA ,Abandoned ,Surface
1601134,M ,Construction Sand and Gravel ,Cook Pit,Moss Dirt Company  ,LA ,Abandoned ,Surface
1601165,M ,Construction Sand and Gravel ,Moss Dirt Pit,Moss Dirt Company  ,LA ,Abandoned ,Surface
3901042,M ,Construction Sand and Gravel ,Hoffman Pit,Muckler Fill Dirt & Top Soil  ,SD ,Abandoned ,Surface
1601194,M ,Construction Sand and Gravel ,Nelson & Sons Dirt Haulers Incorporated,Nelson & Sons Dirt Haulers Inc  ,LA ,Abandoned ,Surface
4104054,M ,Construction Sand and Gravel ,NELSON'S DIRT PIT,Nelson'S Dirt Pit  ,TX ,Abandoned ,Surface
4801674,M ,Construction Sand and Gravel ,Eagle One,Nicholson Dirt Contracting  ,WY ,Abandoned ,Surface
2402474,M ,Construction Sand and Gravel ,Rolling Glen Ranch Sand and Gravel,Nitty Gritty Dirt LLC  ,MT ,Abandoned ,Surface
1600920,M ,Construction Sand and Gravel ,Calhoun And Mcguire Pit,Northest Louisiana Dirt Contractors  ,LA ,Abandoned ,Surface
4102955,M ,"Crushed, Broken Limestone NEC ",Ed Meek Pit,Orvil Carter Dirt Contractor Inc  ,TX ,Abandoned ,Surface
4103107,M ,"Crushed, Broken Limestone NEC ",Seitz Pit,Orvil Carter Dirt Contractor Inc  ,TX ,Abandoned ,Surface
1512530,C ,Coal (Bituminous) ,No 1 Surface,P B Dirt Movers Inc  ,KY ,Abandoned ,Surface
1515619,C ,Coal (Bituminous) ,No 5 Surface,P B Dirt Movers Inc  ,KY ,Abandoned ,Surface
1518318,C ,Coal (Bituminous) ,Biggs No 1,P B Dirt Movers Inc  ,KY ,Abandoned ,Surface
4405366,C ,Coal (Bituminous) ,No 1 Strip,P B Dirt Movers Inc  ,VA ,Abandoned ,Surface
4407196,C ,Coal (Bituminous) ,No 2,P B Dirt Movers Inc  ,VA ,Abandoned ,Surface
1519685,C ,Coal (Bituminous) ,Fedscreek Refuse Pile,P B Dirt Movers Inc.  ,KY ,Abandoned ,Surface
1519799,C ,Coal (Bituminous) ,Fedscreek Surface,"P B Dirt Movers, Inc  ",KY ,Active ,Surface
4407379,C , ,No. 3,"P B Dirt Movers, Inc.  ",VA ,New Mine ,Surface
4407003,C ,Coal (Bituminous) ,No 2,P.B. Dirtmovers  ,VA ,Abandoned* ,Underground
2602570,M ,Construction Sand and Gravel ,COUNTY FAIRE TEMP GRAVEL PIT,PAPA'S DIRT WORKES  ,NV ,Abandoned ,Surface
2402503,M ,Construction Sand and Gravel ,Robison Mine,Paydirt Exc Inc  ,MT ,Abandoned ,Surface
4407296,C ,Coal (Bituminous) ,Mine No. 6,PB Dirt Movers  ,VA ,Temporarily Idled ,Underground
1519273,C ,Coal (Bituminous) ,Blair Face Up,PB Dirt Movers Inc.  ,KY ,Abandoned ,Surface
4407270,C ,Coal (Bituminous) ,Surface Mine No. 1,"PB Dirt Movers, Inc  ",VA ,Abandoned ,Surface
4102682,M ,Construction Sand and Gravel ,Peveto Pit,Peveto Dirt Pit  ,TX ,Abandoned ,Surface
0801259,M ,Construction Sand and Gravel ,PIT #1,"Phil-Dirt Industries, Inc  ",FL ,Abandoned ,Surface
0203332,M ,Construction Sand and Gravel ,Sandretto Drive,"Prescott Dirt, LLC  ",AZ ,Intermittent ,Surface
0302015,M ,"Crushed, Broken Limestone NEC ",Martins Quarry,R & R Dirtworks  ,AR ,Abandoned ,Surface
2901986,M ,Construction Sand and Gravel ,R D BLANKENSHIP DIRT WORK,R D Blankenship Dirt Work LLC  ,NM ,Active ,Surface
1601127,M ,Construction Sand and Gravel ,Reeves Dirt Pit Incorporated,Reeves Dirt Pit Inc  ,LA ,Abandoned ,Surface
4105017,M ,"Sand, Common ",River Bottom Dirt,River Bottom Dirt  ,TX ,Abandoned ,Surface
1600986,M ,Construction Sand and Gravel ,Roe'S Dirt Pit,Roe'S Dirt Pit  ,LA ,Abandoned ,Surface
4103324,M ,Construction Sand and Gravel ,Pine Ridge Pit,Russell Trest-Dirt Contractor  ,TX ,Abandoned ,Surface
4202013,M ,Construction Sand and Gravel ,Stahr Portable Crusher,S J Stahr Dirt Movers Inc  ,UT ,Abandoned ,Surface
0801417,M ,"Sand, Common ",Molino Pit,"Sand & Dirt, Inc  ",FL ,Active ,Surface
0801371,M ,"Sand, Common ",CENTURY PIT,"Sand and Dirt, Inc.  ",FL ,Abandoned ,Surface
2402115,M ,Construction Sand and Gravel ,Sierra Rock & Dirt Inc,"Sierra Rock & Dirt, Inc.  ",MT ,Abandoned ,Surface
4300748,M ,Construction Sand and Gravel ,Simpson Sand and Gravel,Simpson Dirtworx llc  ,VT ,Abandoned ,Surface
4300768,M ,Construction Sand and Gravel ,Pettibone Jaw Crusher,SIMPSON DIRTWORX LLC  ,VT ,Intermittent ,Surface
4300776,M ,Construction Sand and Gravel ,Chieftan 1400,SIMPSON DIRTWORX LLC  ,VT ,Intermittent ,Surface
0103209,M ,Construction Sand and Gravel ,SLAY PIT,Slay'S Dirt Hauling  ,AL ,Abandoned ,Surface
1601159,M ,Construction Sand and Gravel ,Southside Dirt Pit,Southside Dirt Company  ,LA ,Abandoned ,Surface
2302283,M ,Construction Sand and Gravel ,Mike's Money Pit,"Spry's Dirt & Gravel, Inc.  ",MO ,Intermittent ,Surface
4102586,M ,Construction Sand and Gravel ,Stewart Pit,Stewart Dirt Pit  ,TX ,Abandoned ,Surface
4104475,M ,"Crushed, Broken Stone NEC ",Stewart Dirt Work Inc - Hanna Pit,"Stewart Dirt Work, Inc.  ",TX ,Abandoned ,Surface
3800617,M ,Construction Sand and Gravel ,Highway 642 Dirt Pit,Sweat'S Dirt Hauling Inc  ,SC ,Abandoned ,Surface
1601234,M ,Construction Sand and Gravel ,Toler Roe Dirt Pit,Toler Roe Dirt Pit  ,LA ,Abandoned ,Surface
4104648,M ,Construction Sand and Gravel ,La Calichera Pit,"Tres Palacios Dirt, Sand & Gravel  ",TX ,Abandoned ,Surface
2103518,M ,Construction Sand and Gravel ,Crusher,Vogt Dirt Service  ,MN ,Intermittent ,Surface
1601292,M ,Construction Sand and Gravel ,ADDISON LEASE,Watson Dirt Sand & Gravel Pit Inc  ,LA ,Abandoned ,Surface
4103429,M ,Construction Sand and Gravel ,Y B Mine,Y B Dirt & Loam  ,TX ,Abandoned ,Surface
4103264,M ,Construction Sand and Gravel ,Yarbrough Dirt Pit #1,Yarbrough Dirt Pit Inc  ,TX ,Abandoned ,Surface
